"sample.date","sample.loc","LDL","N1","N2","Phi6","N501Y","del.69-70","T478","L452R","K417N","N679K","Q954H","R408S","A67V;del69-70","NP151","F490S","N-E136D","pH","turbidity","temperature","sample.type","sample.vol","occupancy","quar.new","quar.cont","iso.new","iso.cont","iso.cont.pre","iso.cont.post","iso.new.roll","cases","enrolled","negative","rejected","positive","pos.roll","vax.percent","volume","wildtype"
2021-01-11,"HL",1152,1152,1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.24,67.5,9.7,"G",0.3,11,0,0,0,0,2,0,0,NA,NA,0,0,0,0,NA,NA,1152
2021-01-11,"HO",528,528,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,6.81,2.6,"C",7.1,14,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,NA,528
2021-01-11,"MC",768,768,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,96.8,4.5,"C",9,11,0,0,0,0,0,0,0,NA,NA,0,0,0,0,NA,7021.38538041711,768
2021-01-11,"PL",864,864,864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15,44.9,2.2,"C",0.5,436,0,0,0,1,5,1,1,NA,NA,0,0,0,0,NA,NA,864
2021-01-11,"PU",936,936,936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,1.28,13.9,"G",1,393,0,0,0,0,1,0,0,NA,NA,0,0,0,0,NA,21115.5840416104,936
2021-01-11,"UN",1104,1104,1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04,133,9.2,"G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104
2021-01-11,"WO",840,14747,15307,NA,420,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,38.7,5.2,"C",9.5,29,4,4,1,1,7,1,1,NA,1,1,0,0,0,NA,NA,15307
2021-01-13,"PL",960,1408,960,NA,480,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.01,60.1,9.2,"C",1,436,1,1,0,2,5,2,2,NA,3,1,0,0,0,NA,NA,1408
2021-01-13,"WO",624,624,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27,65.2,6.1,"C",9,283,4,8,1,2,6,2,2,NA,NA,0,0,0,0,NA,NA,624
2021-01-18,"HL",768,2765,1314,NA,384,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,38.6,6.5,"C",10,432,0,0,0,0,7,0,0,NA,NA,0,0,0,0,NA,NA,2765
